 ,pH,BOD5,SS,VSS,TS,VTS,TKN,NH3-N,NO2-N + NO3-N,P-TOT,P-SOL,Flow,,,,,,,,,,
12-Apr-16,7.4,158,188,124,954,238,19,9.7,0.22,4.1,1.7,290,,,,,,,,,,
13-Apr-16,7.5,      T/X,156,120,964,298,19,10.8,     <0.15,3.5,1.6,281,,,,,,,,,,
14-Apr-16,7.4,137,192,168,1002,330,19,10.2,     <0.15,4.4,2.3,262,,,,,,,,,,
15-Apr-16,7.4,      T/X,222,220,1092,414,23,11.0,     <0.15,5.1,2.3,172,,,,,,,,,,
16-Apr-16,7.5,347,432,408,1240,532,30,11.3,     <0.15,6.0,1.9,208,,,,,,,,,,
17-Apr-16,7.4,175,252,220,1016,360,22,11.2,     <0.15,4.0,1.5,195,,,,,,,,,,
18-Apr-16,7.3,188,240,140,1046,322,26,13.0,     <0.15,6.9,4.0,185,,,,,,,,,,
19-Apr-16,7.1,195,228,194,1078,338,26,13.3,     <0.15,6.3,3.5,159,,,,,,,,,,
20-Apr-16,7.3,134,198,172,966,298,24,13.2,     <0.15,4.5,2.1,187,,,,,,,,,,
21-Apr-16,7.3,198,284,198,1018,336,24,10.7,     <0.15,5.0,2.3,319,,,,,,,,,,
22-Apr-16,7.4,180,256,206,1031,324,21,11.5,     <0.15,4.0,1.9,193,,,,,,,,,,
23-Apr-16,7.4,273,844,768,1498,762,25,11.7,     <0.15,4.9,1.9,158,,,,,,,,,,
24-Apr-16,7.5,114,122,114,896,278,19,10.8,     <0.15,3.2,1.6,180,,,,,,,,,,
25-Apr-16,7.6,102,220,208,892,236,22,12.0,     <0.15,3.5,1.8,175,,,,,,,,,,
26-Apr-16,7.3,144,186,140,948,244,25,12.6,     <0.15,4.3,2.0,168,,,,,,,,,,
27-Apr-16,7.2,253,318,266,1070,382,32,14.5,     <0.15,6.4,3.0,167,,,,,,,,,,
28-Apr-16,7.2,      T/X,628,408,1146,490,33,7.7,0.33,7.1,0.9,424,,,,,,,,,,
29-Apr-16,7.6,135,168,124,856,228,20,9.3,0.65,4.6,2.4,298,,,,,,,,,,
30-Apr-16,7.4,212,394,326,1055,422,23,9.7,     <0.15,3.6,1.1,262,,,,,,,,,,
1-May-16,7.7,57,86,64,672,136,11,5.4,1.14,1.55,0.57,477,,,,,,,,,,
2-May-16,7.7,73,156,94,702,180,10,3.6,1.60,4.79,2.81,396,,,,,,,,,,
3-May-16,7.4,78,96,74,806,172,12,6.2,0.74,2.34,0.94,380,,,,,,,,,,
4-May-16,7.5,65,86,62,716,166,12,6.5,0.78,1.98,0.63,408,,,,,,,,,,
5-May-16,7.5,61,68,62,806,190,12,6.7,0.52,2.20,1.13,346,,,,,,,,,,
6-May-16,7.6,98,106,82,794,166,15,7.0,     <0.15,2.69,1.16,341,,,,,,,,,,
7-May-16,7.6,78,102,80,804,202,15,7.7,     <0.15,2.31,0.79,314,,,,,,,,,,
8-May-16,7.5,93,146,116,840,212,18,8.8,     <0.15,3.13,0.98,267,,,,,,,,,,
9-May-16,7.4,94,118,104,872,232,19,11.6,     <0.15,3.24,1.64,234,,,,,,,,,,
10-May-16,7.3,128,206,144,752,240,16,7.1,0.60,4.41,2.05,415,,,,,,,,,,
11-May-16,7.5,63,90,62,734,164,11,5.4,0.90,2.31,1.13,380,,,,,,,,,,
12-May-16,7.5,99,144,100,868,212,15,6.6,0.79,3.28,1.48,363,,,,,,,,,,
13-May-16,7.6,173,332,304,1060,380,21,8.2,     <0.15,5.28,2.15,346,,,,,,,,,,
14-May-16,7.3,      T/X,988,852,1407,800,35,5.9,0.51,8.72,1.72,360,,,,,,,,,,
15-May-16,7.6,65,104,84,760,144,12,7.1,0.47,2.21,0.98,345,,,,,,,,,,
16-May-16,7.4,70,80,52,796,186,15,9.2,     <0.15,3.14,1.68,245,,,,,,,,,,
17-May-16,7.6,      T/X,92,78,882,200,17,10.5,     <0.15,3.40,2.02,196,,,,,,,,,,
18-May-16,7.4,106,148,104,986,270,21,11.9,     <0.15,4.01,2.09,191,,,,,,,,,,
19-May-16,7.4,      T/X,440,340,1389,636,32,11.9,     <0.15,6.98,2.55,207,,,,,,,,,,
20-May-16,7.5,109,115,85,948,272,20,12.5,     <0.15,4.93,3.15,205,,,,,,,,,,
21-May-16,7.4,154,176,140,984,342,25,13.9,     <0.15,4.64,2.36,179,,,,,,,,,,
22-May-16,7.4,123,144,112,902,284,23,14.5,     <0.15,4.02,2.25,174,,,,,,,,,,
